direction,features,model,f1,mcc,roc_auc
UNSW->CIC,20-features,random_forest,0.0,-0.35821571484504566,0.7980635094066569
UNSW->CIC,20-features,xgboost,0.23420302446175983,-0.1530656554972874,0.6420624979550746
UNSW->CIC,20-features,svm,1.2583285621708684e-05,-0.02906204027051322,0.9917345941609514
UNSW->CIC,20-features,mlp,0.9947559295904571,0.9188714057613576,0.9849706968476687
UNSW->CIC,11-features,random_forest,0.19088031328115743,-0.02375328975977029,0.825575433524193
UNSW->CIC,11-features,xgboost,0.2267875966268447,-0.08639617065815879,0.6540221877556156
UNSW->CIC,11-features,svm,1.2583285621708684e-05,-0.02906204027051322,0.9916613940099416
UNSW->CIC,11-features,mlp,0.9947590721125141,0.9189281171204692,0.9836835691814004
CIC->UNSW,20-features,random_forest,0.0,0.0,0.4094747845115817
CIC->UNSW,20-features,xgboost,0.021454112038140644,0.0799730897039277,0.7694286237118148
CIC->UNSW,20-features,svm,0.0,-0.01798046010211372,0.3280639969630255
CIC->UNSW,20-features,mlp,0.03202846975088968,0.1037183821357805,0.8095954148353324
CIC->UNSW,11-features,random_forest,0.0,0.0,0.35409754765068274
CIC->UNSW,11-features,xgboost,0.021454112038140644,0.0799730897039277,0.7694286237118148
CIC->UNSW,11-features,svm,0.03197158081705151,0.09272471696963926,0.32809809473041734
CIC->UNSW,11-features,mlp,0.06304728546409807,0.14709301869879934,0.8224500837100188
